date,voltage,current,power,energy,charge,temp,time_seconds,time_str
2022-11-15 20:24:59,4.14,0.00,0.00,0.00,0.00,22,0,0d 00:00:00
2022-11-15 20:25:00,4.14,0.00,0.00,0.00,0.00,22,0,0d 00:00:00
2022-11-15 20:25:02,4.14,0.00,0.00,0.00,0.00,22,0,0d 00:00:00
2022-11-15 20:25:03,4.14,0.00,0.00,0.00,0.00,22,0,0d 00:00:00
2022-11-15 20:25:04,4.16,0.10,0.43,0.00,0.00,22,2,0d 00:00:02
2022-11-15 20:25:06,4.16,0.10,0.41,0.00,0.00,22,3,0d 00:00:03
2022-11-15 20:25:07,4.15,0.10,0.41,0.00,0.00,22,4,0d 00:00:04
2022-11-15 20:25:08,4.18,0.10,0.41,0.00,0.00,22,5,0d 00:00:05
2022-11-15 20:25:10,4.18,0.10,0.41,0.00,0.00,22,7,0d 00:00:07
2022-11-15 20:25:11,4.21,0.10,0.43,0.00,0.00,22,8,0d 00:00:08
2022-11-15 20:25:12,4.21,0.10,0.41,0.00,0.00,22,9,0d 00:00:09
2022-11-15 20:25:14,4.21,0.10,0.44,0.00,0.00,22,11,0d 00:00:11
2022-11-15 20:25:15,4.20,0.10,0.41,0.00,0.00,22,12,0d 00:00:12
2022-11-15 20:25:16,4.20,0.10,0.41,0.00,0.00,22,13,0d 00:00:13
2022-11-15 20:25:17,4.21,0.10,0.42,0.00,0.00,22,15,0d 00:00:15
2022-11-15 20:25:19,4.20,0.10,0.42,0.00,0.00,22,16,0d 00:00:16
2022-11-15 20:25:20,4.20,0.10,0.42,0.00,0.00,22,17,0d 00:00:17
2022-11-15 20:25:21,4.21,0.10,0.42,0.00,0.00,22,18,0d 00:00:18
2022-11-15 20:25:23,4.21,0.10,0.42,0.00,0.00,22,20,0d 00:00:20
2022-11-15 20:25:24,4.20,0.09,0.38,0.00,0.00,22,21,0d 00:00:21
2022-11-15 20:25:25,4.21,0.10,0.41,0.00,0.00,22,22,0d 00:00:22
2022-11-15 20:25:27,4.20,0.10,0.41,0.00,0.00,22,24,0d 00:00:24
2022-11-15 20:25:28,4.20,0.10,0.41,0.00,0.00,22,25,0d 00:00:25
2022-11-15 20:25:29,4.20,0.10,0.41,0.00,0.00,22,26,0d 00:00:26
2022-11-15 20:25:30,4.20,0.10,0.41,0.00,0.00,22,28,0d 00:00:28
2022-11-15 20:25:32,4.20,0.10,0.43,0.00,0.00,22,29,0d 00:00:29
2022-11-15 20:25:33,4.20,0.10,0.41,0.00,0.00,22,30,0d 00:00:30
2022-11-15 20:25:34,4.20,0.10,0.41,0.00,0.00,22,31,0d 00:00:31
