date,voltage,current,power,energy,charge,temp,time_seconds,time_str
2022-11-04 01:38:51,4.12,0.00,0.00,0.00,0.00,20,0,0d 00:00:00
2022-11-04 01:38:52,4.12,0.00,0.00,0.00,0.00,20,0,0d 00:00:00
2022-11-04 01:38:53,4.12,0.00,0.00,0.00,0.00,20,0,0d 00:00:00
2022-11-04 01:38:54,4.12,0.00,0.00,0.00,0.00,20,0,0d 00:00:00
2022-11-04 01:38:55,4.12,0.14,0.58,0.00,0.00,20,0,0d 00:00:00
2022-11-04 01:38:56,4.12,0.50,2.07,0.00,0.00,20,1,0d 00:00:01
2022-11-04 01:38:57,4.11,0.50,2.06,0.00,0.00,20,2,0d 00:00:02
2022-11-04 01:38:58,4.11,0.50,2.06,0.00,0.00,20,3,0d 00:00:03
2022-11-04 01:39:00,4.11,0.50,2.05,0.00,0.00,20,4,0d 00:00:04
2022-11-04 01:39:01,4.10,0.50,2.05,0.00,0.00,20,6,0d 00:00:06
2022-11-04 01:39:02,4.09,0.50,2.04,0.00,0.00,20,7,0d 00:00:07
2022-11-04 01:39:03,4.09,0.50,2.05,0.00,0.00,20,8,0d 00:00:08
2022-11-04 01:39:04,4.09,0.50,2.04,0.00,0.00,20,9,0d 00:00:09
2022-11-04 01:39:05,4.10,0.50,2.05,0.00,0.00,20,10,0d 00:00:10
2022-11-04 01:39:06,4.08,0.50,2.04,0.00,0.00,20,11,0d 00:00:11
2022-11-04 01:39:07,4.06,0.50,2.03,0.00,0.00,20,12,0d 00:00:12
2022-11-04 01:39:09,4.03,0.50,2.02,0.00,0.00,20,13,0d 00:00:13
2022-11-04 01:39:10,4.04,0.50,2.02,0.00,0.00,20,15,0d 00:00:15
2022-11-04 01:39:14,4.04,0.50,2.02,0.00,0.00,20,19,0d 00:00:19
2022-11-04 01:39:15,4.05,0.50,2.02,0.00,0.00,20,20,0d 00:00:20
2022-11-04 01:39:17,4.04,0.50,2.02,0.00,0.00,20,22,0d 00:00:22
2022-11-04 01:39:18,4.04,0.50,2.02,0.00,0.00,20,23,0d 00:00:23
2022-11-04 01:39:19,4.04,0.50,2.02,0.00,0.00,20,24,0d 00:00:24
2022-11-04 01:39:21,4.04,0.50,2.02,0.00,0.00,20,25,0d 00:00:25
2022-11-04 01:39:22,4.02,0.50,2.01,0.00,0.00,20,27,0d 00:00:27
2022-11-04 01:39:23,4.01,0.50,2.01,0.00,0.00,20,28,0d 00:00:28
2022-11-04 01:39:24,4.02,0.50,2.01,0.00,0.00,20,29,0d 00:00:29
2022-11-04 01:39:26,4.03,0.50,2.01,0.00,0.00,20,31,0d 00:00:31
2022-11-04 01:39:27,4.03,0.50,2.01,0.00,0.00,20,32,0d 00:00:32
2022-11-04 01:39:28,4.02,0.50,2.01,0.00,0.00,20,33,0d 00:00:33
2022-11-04 01:39:30,4.02,0.50,2.01,0.00,0.00,21,35,0d 00:00:35
2022-11-04 01:39:31,4.02,0.50,2.00,0.00,0.00,20,36,0d 00:00:36
2022-11-04 01:39:32,4.01,0.50,2.01,0.00,0.01,21,37,0d 00:00:37
2022-11-04 01:39:34,4.01,0.50,2.01,0.00,0.01,20,38,0d 00:00:38
2022-11-04 01:39:35,4.01,0.41,1.64,0.00,0.01,20,40,0d 00:00:40
2022-11-04 01:39:36,4.01,0.50,2.00,0.00,0.01,20,41,0d 00:00:41
2022-11-04 01:39:37,4.01,0.50,2.00,0.00,0.01,20,42,0d 00:00:42
2022-11-04 01:39:39,4.01,0.50,2.00,0.00,0.01,20,44,0d 00:00:44
2022-11-04 01:39:40,4.01,0.50,2.00,0.00,0.01,20,45,0d 00:00:45
2022-11-04 01:39:41,4.00,0.50,2.00,0.00,0.01,21,46,0d 00:00:46
2022-11-04 01:39:43,4.00,0.50,2.00,0.00,0.01,21,48,0d 00:00:48
2022-11-04 01:39:44,4.00,0.50,2.00,0.00,0.01,21,49,0d 00:00:49
2022-11-04 01:39:45,4.00,0.50,2.00,0.00,0.01,21,50,0d 00:00:50
2022-11-04 01:39:47,4.00,0.48,1.93,0.00,0.01,21,51,0d 00:00:51
2022-11-04 01:39:48,3.99,0.50,2.00,0.00,0.01,21,53,0d 00:00:53
2022-11-04 01:39:49,3.99,0.50,2.00,0.00,0.01,21,54,0d 00:00:54
2022-11-04 01:39:51,3.99,0.50,2.00,0.00,0.01,21,55,0d 00:00:55
2022-11-04 01:39:52,3.99,0.50,1.99,0.00,0.01,21,57,0d 00:00:57
2022-11-04 01:39:53,3.99,0.50,1.99,0.00,0.01,21,58,0d 00:00:58
2022-11-04 01:39:54,3.99,0.50,1.99,0.00,0.01,21,59,0d 00:00:59
